gene,Description
ABHD12B,abhydrolase domain containing 12B
KAT6A,lysine acetyltransferase 6A
TUFM,"Tu translation elongation factor, mitochondrial"
SEC23B,"SEC23 homolog B, COPII coat complex component"
ZBTB46,zinc finger and BTB domain containing 46
LOC107984670,uncharacterized LOC107984670
B4GAT1,"beta-1,4-glucuronyltransferase 1"
TEX21P,"testis expressed 21, pseudogene"
HCG25,HLA complex group 25
ZNF730,zinc finger protein 730
E2F2,E2F transcription factor 2
IGHV1OR15-1,immunoglobulin heavy variable 1/OR15-1 (non-functional)
FMO3,flavin containing dimethylaniline monoxygenase 3
BMAL2-AS1,BMAL2 antisense RNA 1
IFT20,intraflagellar transport 20
SERPINA5,serpin family A member 5
THY1,Thy-1 cell surface antigen
ULK3,unc-51 like kinase 3
ARHGAP11B-DT,ARHGAP11B divergent transcript
UBE2F-SCLY,UBE2F-SCLY readthrough (NMD candidate)
PCDHGA5,"protocadherin gamma subfamily A, 5"
P2RX1,purinergic receptor P2X 1
ANKRD23,ankyrin repeat domain 23
USP31,ubiquitin specific peptidase 31
SERPINB9,serpin family B member 9
SMARCD2,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 2"
FBXL5,F-box and leucine rich repeat protein 5
IGLV2-23,immunoglobulin lambda variable 2-23
NANS,N-acetylneuraminate synthase
EPPK1,epiplakin 1
ZNF596,zinc finger protein 596
GALNT4,polypeptide N-acetylgalactosaminyltransferase 4
FRMPD2,FERM and PDZ domain containing 2
CCDC178,coiled-coil domain containing 178
SDC2,syndecan 2
XRCC5,X-ray repair cross complementing 5
ERMAP,erythroblast membrane associated protein (Scianna blood group)
KIF19,kinesin family member 19
MFAP5,microfibril associated protein 5
SCARNA2,small Cajal body-specific RNA 2
GLI3,GLI family zinc finger 3
FAM171A1,family with sequence similarity 171 member A1
LOC102724760,immunoglobulin heavy variable 1/OR15-1 pseudogene
KLC2,kinesin light chain 2
RXRA,retinoid X receptor alpha
FASLG,Fas ligand
MRNIP,MRN complex interacting protein
STK36,serine/threonine kinase 36
GABRA2,gamma-aminobutyric acid type A receptor subunit alpha2
DUSP10,dual specificity phosphatase 10
KCNJ10,potassium inwardly rectifying channel subfamily J member 10
UTP18,UTP18 small subunit processome component
SAC3D1,SAC3 domain containing 1
RPS6KL1,ribosomal protein S6 kinase like 1
APOBEC4,apolipoprotein B mRNA editing enzyme catalytic polypeptide like 4
GAPDHS,"glyceraldehyde-3-phosphate dehydrogenase, spermatogenic"
COP1,COP1 E3 ubiquitin ligase
PLEKHA2,pleckstrin homology domain containing A2
OSBP,oxysterol binding protein
NOL4,nucleolar protein 4
C9orf24,chromosome 9 open reading frame 24
KPNA6,karyopherin subunit alpha 6
SLC25A1,solute carrier family 25 member 1
CD81-AS1,CD81 antisense RNA 1
MCU,mitochondrial calcium uniporter
IGKV2-30,immunoglobulin kappa variable 2-30
LOC105375020,uncharacterized LOC105375020
SETX,senataxin
EGLN1,egl-9 family hypoxia inducible factor 1
SIGLEC11,sialic acid binding Ig like lectin 11
TMEM158,transmembrane protein 158
ENAH,ENAH actin regulator
LINC00888,long intergenic non-protein coding RNA 888
ZBTB40,zinc finger and BTB domain containing 40
CRNDE,colorectal neoplasia differentially expressed
FAM241A,family with sequence similarity 241 member A
WNT7A,Wnt family member 7A
CTTNBP2NL,CTTNBP2 N-terminal like
BCL7A,BAF chromatin remodeling complex subunit BCL7A
HSD17B13,hydroxysteroid 17-beta dehydrogenase 13
ACER3,alkaline ceramidase 3
FAM167A,family with sequence similarity 167 member A
EHMT2,euchromatic histone lysine methyltransferase 2
ROMO1,reactive oxygen species modulator 1
SNF8,SNF8 subunit of ESCRT-II
CHI3L1,chitinase 3 like 1
THSD7B,thrombospondin type 1 domain containing 7B
IGKV1D-17,immunoglobulin kappa variable 1D-17
STEAP1B,STEAP family member 1B
ALOX12B,"arachidonate 12-lipoxygenase, 12R type"
PCSK7,proprotein convertase subtilisin/kexin type 7
CA5BP1,carbonic anhydrase 5B pseudogene 1
ZNF280C,zinc finger protein 280C
ALDH2,aldehyde dehydrogenase 2 family member
CHKB-DT,CHKB divergent transcript
KITLG,KIT ligand
GORAB-AS1,GORAB antisense RNA 1
CACNG6,calcium voltage-gated channel auxiliary subunit gamma 6
KIDINS220,kinase D interacting substrate 220
SPINK5,serine peptidase inhibitor Kazal type 5
DHFR,dihydrofolate reductase
MKS1,MKS transition zone complex subunit 1
HOXA-AS3,HOXA cluster antisense RNA 3
FIBP,FGF1 intracellular binding protein
MAGI3,"membrane associated guanylate kinase, WW and PDZ domain containing 3"
PLA2G10,phospholipase A2 group X
UBE2Q1,ubiquitin conjugating enzyme E2 Q1
CDKN2C,cyclin dependent kinase inhibitor 2C
KAT7,lysine acetyltransferase 7
LOC112268143,uncharacterized LOC112268143
C1orf21,chromosome 1 open reading frame 21
CCAR1,cell division cycle and apoptosis regulator 1
RILP,Rab interacting lysosomal protein
SLC14A2-AS1,SLC14A2 antisense RNA 1
RANGAP1,Ran GTPase activating protein 1
CTH,cystathionine gamma-lyase
LINC02532,long intergenic non-protein coding RNA 2532
PDZK1IP1,PDZK1 interacting protein 1
LINC00471,long intergenic non-protein coding RNA 471
CCDC27,coiled-coil domain containing 27
ING2-DT,ING2 divergent transcript
PTGER3,prostaglandin E receptor 3
WDR26,WD repeat domain 26
TRUB2,TruB pseudouridine synthase family member 2
NHLRC2,NHL repeat containing 2
ZNF271P,"zinc finger protein 271, pseudogene"
LOC105376090,uncharacterized LOC105376090
NAE1,NEDD8 activating enzyme E1 subunit 1
RGL3,ral guanine nucleotide dissociation stimulator like 3
SCLY,selenocysteine lyase
ZNF174,zinc finger protein 174
SELENOH,selenoprotein H
TSHZ3,teashirt zinc finger homeobox 3
PAAF1,proteasomal ATPase associated factor 1
LOC101060179,replaced by ID 56981
SRPRA,SRP receptor subunit alpha
RTN4,reticulon 4
EXOC3L2,exocyst complex component 3 like 2
TMEM14A,transmembrane protein 14A
TMEM232,transmembrane protein 232
LMBRD1,LMBR1 domain containing 1
LOC105379857,replaced by ID 642819
TIMM23,translocase of inner mitochondrial membrane 23
SLC16A9,solute carrier family 16 member 9
SHLD1,shieldin complex subunit 1
AURKAIP1,aurora kinase A interacting protein 1
MIR939,microRNA 939
TOR1AIP2,torsin 1A interacting protein 2
TRIM71,tripartite motif containing 71
EYA2,EYA transcriptional coactivator and phosphatase 2
LCLAT1,lysocardiolipin acyltransferase 1
LOC112268199,uncharacterized LOC112268199
C1orf43,chromosome 1 open reading frame 43
RAD51L3-RFFL,RAD51L3-RFFL readthrough
POLH,DNA polymerase eta
CRACDL,CRACD like
ZNRD2-DT,ZNRD2 divergent transcript
CORO2A,coronin 2A
C7orf50,chromosome 7 open reading frame 50
RIDA,reactive intermediate imine deaminase A homolog
ENTR1,endosome associated trafficking regulator 1
PIEZO1,piezo type mechanosensitive ion channel component 1
LOC105371419,
KIAA2026,KIAA2026
CLIC1,chloride intracellular channel 1
OSTCP1,oligosaccharyltransferase complex subunit pseudogene 1
TUBA1A,tubulin alpha 1a
DCDC2B,doublecortin domain containing 2B
RIOX1,ribosomal oxygenase 1
ANXA1,annexin A1
NUAK1,NUAK family kinase 1
USP40,ubiquitin specific peptidase 40
RRP7BP,"ribosomal RNA processing 7 homolog B, pseudogene"
LOC100101148,FKBP prolyl isomerase 6 pseudogene
CEP131,centrosomal protein 131
EEF1B2,eukaryotic translation elongation factor 1 beta 2
MARCHF5,membrane associated ring-CH-type finger 5
LRRC15,leucine rich repeat containing 15
LINC00639,long intergenic non-protein coding RNA 639
GRAMD4,GRAM domain containing 4
LOC107986800,putative uncharacterized protein FLJ44672
TGM3,transglutaminase 3
CLK2P1,"CDC like kinase 2, pseudogene 1"
FTCD,formimidoyltransferase cyclodeaminase
SNAPC3,small nuclear RNA activating complex polypeptide 3
INVS,inversin
NT5C3B,"5'-nucleotidase, cytosolic IIIB"
HSPA9,heat shock protein family A (Hsp70) member 9
MTMR2,myotubularin related protein 2
PHLDA3,pleckstrin homology like domain family A member 3
TEPP,"testis, prostate and placenta expressed"
LOC112268044,ankyrin repeat domain-containing protein 18B-like
DNAJC2,DnaJ heat shock protein family (Hsp40) member C2
ZNF48,zinc finger protein 48
FGF13-AS1,FGF13 antisense RNA 1
ZNF263,zinc finger protein 263
CPNE2,copine 2
SHISA3,shisa family member 3
CPLANE1,ciliogenesis and planar polarity effector complex subunit 1
LOC101929950,puromycin-sensitive aminopeptidase-like protein
TMCC2,transmembrane and coiled-coil domain family 2
SCPPPQ1,secretory calcium-binding phosphoprotein proline-glutamine rich 1
POP1,"POP1 homolog, ribonuclease P/MRP subunit"
CCDC170,coiled-coil domain containing 170
LOC105376718,uncharacterized LOC105376718
LAMP5-AS1,LAMP5 antisense RNA 1
TBC1D3B,TBC1 domain family member 3B
CALU,calumenin
RBBP8,"RB binding protein 8, endonuclease"
MROH8,maestro heat like repeat family member 8
DHX16,DEAH-box helicase 16
ASAH1-AS1,ASAH1 antisense RNA 1
GNB5,G protein subunit beta 5
LOC105371464,uncharacterized LOC105371464
ZNF629,zinc finger protein 629
DLEU1,deleted in lymphocytic leukemia 1
LOC101927793,uncharacterized LOC101927793
ECHS1,"enoyl-CoA hydratase, short chain 1"
BCL6,BCL6 transcription repressor
BACH2,BTB domain and CNC homolog 2
PYM1,"PYM homolog 1, exon junction complex associated factor"
RP1,RP1 axonemal microtubule associated
AMBRA1,autophagy and beclin 1 regulator 1
SEPTIN7,septin 7
DEPP1,DEPP autophagy regulator 1
ARRDC2,arrestin domain containing 2
MYADM,myeloid associated differentiation marker
PLK4,polo like kinase 4
IGHV5-10-1,immunoglobulin heavy variable 5-10-1
LOC107986334,uncharacterized LOC107986334
PAN3-AS1,PAN3 antisense RNA 1
NDUFC2-KCTD14,NDUFC2-KCTD14 readthrough
IARS1,isoleucyl-tRNA synthetase 1
ARHGAP19,Rho GTPase activating protein 19
GTPBP4,GTP binding protein 4
LOC107985478,uncharacterized LOC107985478
FAM117B,family with sequence similarity 117 member B
ZMYM1,zinc finger MYM-type containing 1
LCNL1,lipocalin like 1
SRSF9,serine and arginine rich splicing factor 9
LOC101929018,uncharacterized LOC101929018
TRIM72,tripartite motif containing 72
SMCO4,single-pass membrane protein with coiled-coil domains 4
LINC02606,long intergenic non-protein coding RNA 2606
MED13L,mediator complex subunit 13L
COL9A3,collagen type IX alpha 3 chain
FANCG,FA complementation group G
ASL,argininosuccinate lyase
LINC03011,long intergenic non-protein coding RNA 3011
IQANK1,IQ motif and ankyrin repeat containing 1
PSMD10,"proteasome 26S subunit, non-ATPase 10"
PACERR,PTGS2 antisense NFKB1 complex-mediated expression regulator RNA
MAD2L2,mitotic arrest deficient 2 like 2
DHX9,DExH-box helicase 9
LOC105378179,uncharacterized LOC105378179
TTC23L-AS1,TTC23L antisense RNA 1
SNHG15,small nucleolar RNA host gene 15
SEMA3B-AS1,SEMA3B antisense RNA 1 (head to head)
CYC1,cytochrome c1
LY75-CD302,LY75-CD302 readthrough
MTA3,metastasis associated 1 family member 3
DHX37,DEAH-box helicase 37
KRT222,keratin 222
CYTH1,cytohesin 1
AMY1B,amylase alpha 1B
HMGA2-AS1,HMGA2 antisense RNA 1
ZNF300P1,zinc finger protein 300 pseudogene 1
CEP120,centrosomal protein 120
RN7SL2,RNA component of signal recognition particle 7SL2
MCM3,minichromosome maintenance complex component 3
FAAH,fatty acid amide hydrolase
CRYBG3,crystallin beta-gamma domain containing 3
GLUD1,glutamate dehydrogenase 1
LOC107984690,uncharacterized LOC107984690
LINC00494,long intergenic non-protein coding RNA 494
ZDHHC14,zinc finger DHHC-type palmitoyltransferase 14
ZDHHC19,zinc finger DHHC-type palmitoyltransferase 19
HNRNPUL2-BSCL2,HNRNPUL2-BSCL2 readthrough (NMD candidate)
EPX,eosinophil peroxidase
TENM1,teneurin transmembrane protein 1
TRAPPC14,trafficking protein particle complex subunit 14
PHF8,PHD finger protein 8
TAF12,TATA-box binding protein associated factor 12
HEATR5B,HEAT repeat containing 5B
CSF2RB,colony stimulating factor 2 receptor subunit beta
MKLN1-AS,MKLN1 antisense RNA
CFAP107,cilia and flagella associated protein 107
RPL39L,ribosomal protein L39 like
EME2,essential meiotic structure-specific endonuclease subunit 2
ENO2,enolase 2
LOC105376626,uncharacterized LOC105376626
CPT1B,carnitine palmitoyltransferase 1B
LOC107984847,replaced by ID 100288069
LOC105370525,uncharacterized LOC105370525
PTPDC1,protein tyrosine phosphatase domain containing 1
SRSF1,serine and arginine rich splicing factor 1
ZMYM4,zinc finger MYM-type containing 4
LOC344967,acyl-CoA thioesterase 7 pseudogene
HOXD3,homeobox D3
CFAP141,cilia and flagella associated protein 141
GSPT1,G1 to S phase transition 1
GGT8P,gamma-glutamyltransferase 8 pseudogene
TNFSF15,TNF superfamily member 15
ADGRG6,adhesion G protein-coupled receptor G6
ASCC2,activating signal cointegrator 1 complex subunit 2
LOC105376322,
SLC6A15,solute carrier family 6 member 15
TRMT2A,tRNA methyltransferase 2 homolog A
SEC14L3,SEC14 like lipid binding 3
FAM133A,family with sequence similarity 133 member A
LINC02408,long intergenic non-protein coding RNA 2408
LRRC66,leucine rich repeat containing 66
PFKL,"phosphofructokinase, liver type"
LRRC25,leucine rich repeat containing 25
LOC112268235,uncharacterized LOC112268235
SLC35B3,solute carrier family 35 member B3
AMY1A,amylase alpha 1A
PDZRN3,PDZ domain containing ring finger 3
NAP1L5,nucleosome assembly protein 1 like 5
DACT3-AS1,DACT3 antisense RNA 1
ZNF669,zinc finger protein 669
DEPDC4,DEP domain containing 4
LINC03032,long intergenic non-protein coding RNA 3032
LOC105377730,uncharacterized LOC105377730
SMIM6,small integral membrane protein 6
GID8,GID complex subunit 8 homolog
SPTBN1-AS1,SPTBN1 antisense RNA 1
GON4L,gon-4 like
ZBTB8OS,zinc finger and BTB domain containing 8 opposite strand
CFAP43,cilia and flagella associated protein 43
VWA8-AS1,VWA8 antisense RNA 1 (head to head)
LOC107987233,replaced by ID 283948
ATG16L1,autophagy related 16 like 1
DPM2,"dolichyl-phosphate mannosyltransferase subunit 2, regulatory"
ZNF662,zinc finger protein 662
COL2A1,collagen type II alpha 1 chain
C14orf28,chromosome 14 open reading frame 28
HERC2P3,HERC2 pseudogene 3
RNFT1-DT,RNFT1 divergent transcript
PTGR3,prostaglandin reductase 3
MEAF6,MYST/Esa1 associated factor 6
NHSL1,NHS like 1
FBXO25,F-box protein 25
LOC107986167,uncharacterized LOC107986167
LOC102724788,replaced by ID 5625
CCDC190,coiled-coil domain containing 190
LOC105370753,uncharacterized LOC105370753
ACSL4,acyl-CoA synthetase long chain family member 4
POC1B-GALNT4,POC1B-GALNT4 readthrough
INTS13,integrator complex subunit 13
SPRING1,SREBF pathway regulator in golgi 1
TP53I11,tumor protein p53 inducible protein 11
ANKUB1,ankyrin repeat and ubiquitin domain containing 1
RARS1,arginyl-tRNA synthetase 1
NDNF,neuron derived neurotrophic factor
SCYL2,SCY1 like pseudokinase 2
CSPP1,centrosome and spindle pole associated protein 1
THYN1,thymocyte nuclear protein 1
CNGA3,cyclic nucleotide gated channel subunit alpha 3
MTUS2,microtubule associated scaffold protein 2
NATD1,N-acetyltransferase domain containing 1
TFG,trafficking from ER to golgi regulator
GAS1,growth arrest specific 1
IGLV5-45,immunoglobulin lambda variable 5-45
RPL26L1-AS1,RPL26L1 antisense RNA 1
RFC4,replication factor C subunit 4
CNIH4,cornichon family AMPA receptor auxiliary protein 4
SLC30A2,solute carrier family 30 member 2
C4B,complement C4B (Chido blood group)
LOC105377033,uncharacterized LOC105377033
DTWD1,DTW domain containing 1
AMY1C,amylase alpha 1C
LYRM7,LYR motif containing 7
NTMT1,N-terminal Xaa-Pro-Lys N-methyltransferase 1
TMEM200C,transmembrane protein 200C
SULT2B1,sulfotransferase family 2B member 1
RNA5-8SN2,"RNA, 5.8S ribosomal N2"
NOMO3,NODAL modulator 3
SNORD3B-1,"small nucleolar RNA, C/D box 3B-1"
CFAP276,cilia and flagella associated protein 276
IL1A,interleukin 1 alpha
EVI5,ecotropic viral integration site 5
EMILIN2,elastin microfibril interfacer 2
ENO3,enolase 3
LOC112268277,replaced by ID 64754
IGKV2-24,immunoglobulin kappa variable 2-24
SPDL1,spindle apparatus coiled-coil protein 1
FAM83E,family with sequence similarity 83 member E
DDX54,DEAD-box helicase 54
ZNF217,zinc finger protein 217
ZNF598,"zinc finger protein 598, E3 ubiquitin ligase"
LOC112268092,
ELOB,elongin B
FAS,Fas cell surface death receptor
EIF1B,eukaryotic translation initiation factor 1B
KCNN1,potassium calcium-activated channel subfamily N member 1
LOC100422556,"LEO1 homolog, Paf1/RNA polymerase II complex component pseudogene"
EIF2AK3,eukaryotic translation initiation factor 2 alpha kinase 3
ZSCAN2,zinc finger and SCAN domain containing 2
CRTAC1,cartilage acidic protein 1
RNF26,ring finger protein 26
LOC388780,uncharacterized LOC388780
MDM2,MDM2 proto-oncogene
LOC105374063,uncharacterized LOC105374063
TNFRSF10B,TNF receptor superfamily member 10b
KIR2DL4,"killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 4"
LOC107983979,
COG1,component of oligomeric golgi complex 1
HECTD2,HECT domain E3 ubiquitin protein ligase 2
ZNF771,zinc finger protein 771
LINC02381,long intergenic non-protein coding RNA 2381
OCA2,OCA2 melanosomal transmembrane protein
ACMSD,aminocarboxymuconate semialdehyde decarboxylase
PMS2P3,"PMS1 homolog 2, mismatch repair system component pseudogene 3"
CD63,CD63 molecule
PRODH,proline dehydrogenase 1
ACAP3,"ArfGAP with coiled-coil, ankyrin repeat and PH domains 3"
FRAT1,FRAT regulator of WNT signaling pathway 1
FAM78A,family with sequence similarity 78 member A
UFL1-AS1,UFL1 antisense RNA 1
USP30-AS1,USP30 antisense RNA 1
MAP3K2-DT,MAP3K2 divergent transcript
ZNF395,zinc finger protein 395
OSBPL1A,oxysterol binding protein like 1A
ALDH3B1,aldehyde dehydrogenase 3 family member B1
GARNL3,GTPase activating Rap/RanGAP domain like 3
CDC42EP3,CDC42 effector protein 3
SPRY4-IT1,SPRY4 intronic transcript 1
ESAM-AS1,ESAM antisense RNA 1
FAM89A,family with sequence similarity 89 member A
LOC107986822,uncharacterized LOC107986822
ALDH1B1,aldehyde dehydrogenase 1 family member B1
ZP3,zona pellucida glycoprotein 3
